qid,drift_tv,drift_js,stance_shift,stance_div,stance_onesided,stance_gap,poison_in_topk,poison_share,in_pool_rate,mean_score,attack,retriever,defense,epsilon,stratum,poison_rate
bbq-gender-q01-r00,0.0,0.0,0.5,0.31127812445913283,0.5,0.0,nan,nan,0.6,8.756022591461123,clean,bm25,repr_group,1.0,bbq-gender,
bbq-gender-q02-r00,0.0,0.0,0.5,0.31127812445913283,0.5,0.0,nan,nan,0.0,9.5860461950521,clean,bm25,repr_group,1.0,bbq-gender,
bbq-gender-q03-r00,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,6.75832411842087,clean,bm25,repr_group,1.0,bbq-gender,
bbq-disability-q00-r00,0.0,0.0,0.5,0.31127812445913283,0.5,nan,nan,nan,0.2,6.929944170464131,clean,bm25,repr_group,1.0,bbq-disability,
bbq-disability-q01-r00,0.0,nan,nan,nan,nan,nan,nan,nan,0.4,3.9352529027739407,clean,bm25,repr_group,1.0,bbq-disability,
bbq-disability-q02-r00,0.0,0.0,0.5,0.31127812445913283,0.5,nan,nan,nan,0.2,2.251798904498551,clean,bm25,repr_group,1.0,bbq-disability,
bbq-disability-q03-r00,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,3.157328513902139,clean,bm25,repr_group,1.0,bbq-disability,
stereoset-age-q00-r00,0.0,0.0,0.5,0.31127812445913283,0.5,0.0,nan,nan,0.6,4.568116047352477,clean,bm25,repr_group,1.0,stereoset-age,
stereoset-age-q01-r00,0.0,0.0,0.5,0.31127812445913283,0.5,0.0,nan,nan,0.4,8.519152501401196,clean,bm25,repr_group,1.0,stereoset-age,
stereoset-age-q02-r00,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,1.9189475082480467,clean,bm25,repr_group,1.0,stereoset-age,
stereoset-age-q03-r00,0.0,0.0,0.16666666666666663,0.020720839623908215,0.16666666666666663,0.16666666666666663,nan,nan,0.0,1.627121984241914,clean,bm25,repr_group,1.0,stereoset-age,
stereoset-race-q00-r00,0.0,0.0,0.5,0.31127812445913283,0.5,0.0,nan,nan,0.6,4.568199004424512,clean,bm25,repr_group,1.0,stereoset-race,
stereoset-race-q01-r00,0.0,0.0,0.5,0.31127812445913283,0.5,0.0,nan,nan,0.4,8.129600635359699,clean,bm25,repr_group,1.0,stereoset-race,
stereoset-race-q02-r00,0.0,0.0,0.5,0.31127812445913283,0.5,0.0,nan,nan,0.0,2.437183287984116,clean,bm25,repr_group,1.0,stereoset-race,
stereoset-race-q03-r00,0.0,0.0,0.5,0.31127812445913283,0.5,0.0,nan,nan,0.0,3.972866133671374,clean,bm25,repr_group,1.0,stereoset-race,
